,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,clean_adm1,clean_adm2,clean_adm3,clean_adm4,latitude,longitude,source,source_scale,notes,fatalities
10,9426201,2022-07-23,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),,7,57,Northern,Lira,Lira,Lira,2.2426,32.8913,URN (Uganda),National,"On 23 July 2022, students of Lango College destroyed school property in Lira city (Lira, Northern), following the arrest of a former student who was arrested from within the school premises by teachers and school guards for allegedly stealing students' property. [size=no report]",0.0
11,9426198,2022-07-22,Battles,Armed clash,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Military Forces of Uganda (1986-),,1,14,Northern,Moroto,Moroto,Moroto,2.5329,34.6575,URN (Uganda),National,"On 22 July 2022, Karamajong pastoralists attacked and fought with UPDF soldiers who were protecting Kraal in Lokisile sub county in Moroto district (Northern). The attackers overpowered the soldiers and looted cattle. Casualties unknown.",0.0
12,9426199,2022-07-22,Strategic developments,Looting/property destruction,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Northern,Moroto,Moroto,Moroto,2.5329,34.6575,URN (Uganda),National,"Looting: Around 22 July 2022 (as reported), Karamajong pastoralists stole 35 goats from civilians in Lotisan sub county, Moroto district (Northern).",0.0
13,9418969,2022-07-18,Riots,Mob violence,Rioters (Uganda),Students (Uganda),5,Rioters (Uganda),Students (Uganda),5,55,Western,Ntungamo,Kajara,Muntuyera,-0.8433,30.1446,Daily Monitor (Uganda),National,"On 18 July 2022, students fought one another at Muntuyera High School (Ntungamo, Western), following disagreements on a prefectural election. The students involved in the riot were sent home. [size=no report]",0.0
14,9419047,2022-07-18,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),,7,57,Northern,Amuru,Kilak,Amuru,2.8138,31.9386,New Vision (Uganda),National,"On 18 July 2022, residents beat to death a suspected thief in Amuru district (Northern). Three suspects were arrested. [size=no report]",1.0
15,9419068,2022-07-18,Protests,Peaceful protest,Protesters (Burundi),Refugees/IDPs (Burundi),6,,,0,60,Western,Isingiro,Bukanga,Nakivale Refugee Camp,-0.7788,30.9443,SOS Medias,New media,"On 18 July 2022, Burundian refugees demonstrated in front of the office of the Ugandan government representative in Nakivale Refugee Camp (Isingiro, Western), seeking asylum. The demonstrators slept outside on the sides of the road next to the offices of the officials at the Nakivale camp demanding to be taken back to Burundi if they couldn't be granted a refugee status. [size=no report]",0.0
16,9418968,2022-07-17,Violence against civilians,Attack,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Northern,Agago,Agago,Agago,2.8336,33.3336,Daily Monitor (Uganda),National,"On 17 July 2022, suspected Karamajong pastoralists attacked and killed a civilian on Lucekoto village, Agago district (Northern).",1.0
17,9419045,2022-07-17,Violence against civilians,Attack,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),Government of Uganda (1986-),7,47,Northern,Kotido,Kotido,Kotido,3.0065,34.114,New Vision (Uganda),National,"On 17 July 2022, suspected Karamajong pastoralists shot killed the Speaker of Kapeta sub county and his wife in Kotido town (Kotido, Northern).",2.0
18,9419046,2022-07-17,Violence against civilians,Attack,Police Forces of Uganda (1986-) Anti-Stock Theft Unit,,1,Civilians (Uganda),Women (Uganda),7,17,Northern,Abim,Labwor,Morulem,2.5497,33.7305,New Vision (Uganda),National,"On 17 July 2022, police anti-stock theft unit shot and injured a woman in Morulem town (Abim, Northern), after a dispute between the two individuals.",0.0
19,9419128,2022-07-17,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda); Taxi Drivers (Uganda),5,Civilians (Uganda),,7,57,Western,Masindi,Masindi,Masindi,1.6744,31.715,URN (Uganda),National,"On 17 July 2022, a group of boda boda riders killed a wanted suspected motorcycle thief in Bumuzika village, Masindi district (Western). The victim had allegedly killed a boda boda rider before stealing his motorcycle. [size=no report]",1.0
20,9419044,2022-07-16,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),Government of Uganda (1986-); NRM: National Resistance Movement,7,37,Central,Kampala,Kampala,Kampala,0.3156,32.5656,New Vision (Uganda),National,"On 16 July 2022, an unidentified armed group killed the Kamwokya LC3 councillor from NRM party near Centenary Park in Kampala (Kamapala, Central).",1.0
21,9419129,2022-07-16,Strategic developments,Looting/property destruction,Hoima Communal Militia (Uganda),,4,Civilians (Uganda),,7,47,Western,Hoima,Hoima,Busisi East,1.4144,31.3422,URN (Uganda),National,"Property destruction: On 16 July 2022, a group demolished three houses in Busisi East (Hoima, western) over land dispute. Three suspects were arrested.",0.0
22,9409190,2022-07-14,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),,7,57,Northern,Apac,Apac,Apac,1.9756,32.5386,URN (Uganda),National,"On 14 July 2022, three locals lynched a boy in Lango, Apac district (Northern), for allowing animals to graze in another man's garden. [size=3]",1.0
23,9409191,2022-07-14,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),,7,57,Western,Hoima,Hoima,Hoima,1.4356,31.3436,URN (Uganda),National,"On 14 July 2022, students of Mandela Secondary School demonstrated against poor food and administration by the school, destroyed the school's property in Hoima city (Hoima, western). Police forces intervened and calmed down the situation. The school was temporarily closed and students sent home. [size=no report]",0.0
24,9419048,2022-07-14,Battles,Armed clash,Military Forces of Uganda (1986-),,1,Mayi Mayi Militia,,3,13,Western,Kasese,Bukonjo,Kiraro,0.146,29.785,New Vision (Uganda),National,"On 14 July 2022, UPDF soldiers fought with a Mayi Mayi militia, killing one militiaman and injuring another one at the border between Uganda and DR Congo in Kiraro village (Kasese, Western). The militiamen were trying to cross into Uganda following their fight with the FARDC. Three militiamen were arrested.",1.0
25,9409049,2022-07-13,Protests,Peaceful protest,Protesters (Uganda),NUP: National Unity Platform; Students (Uganda),6,,,0,60,Eastern,Soroti,Soroti,Soroti,1.6856,33.6164,Chimp Reports,National,"On 13 July 2022, NUP supporters protested in Soroti city (Soroti, Eastern), against their party's decision to support FDC candidate in the forthcoming Soroti East by election. [size=no report]",0.0
26,9409063,2022-07-13,Protests,Peaceful protest,Protesters (Uganda),Street Traders (Uganda),6,,,0,60,Central,Kampala,Kampala,Kampala,0.3156,32.5656,Daily Monitor (Uganda),National,"On 13 July 2022, street vendors held a protest in Kampala city centre (Kampala, Central), against alleged harsh terms and conditions afflicted on them by the KCCA. [size=no report]",0.0
27,9409093,2022-07-13,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),Military Forces of Uganda (1986-) Special Forces Command; Police Forces of Uganda (1986-),7,57,Eastern,Namayingo,Bukooli,Busiro,0.1857,33.8654,Independent (Uganda),National,"On 13 July 2022, residents tried to lynch an off duty military special forces officer in Busiro village (Namayingo, Eastern), while the officer was trying to reconcile a man and his wife. Police forces intervened and saved the victim. He was injured and rushed to the hospital. [size=no report]",0.0
28,9409095,2022-07-13,Riots,Mob violence,Rioters (Uganda),Kiyanja Communal Group (Uganda),5,Civilians (Uganda),Journalists (Uganda),7,57,Central,Mukono,Mukono,Kiyanja,0.2339,32.7499,Independent (Uganda),National,"On 13 July 2022, youths armed with pangas and sticks attacked and beat up a correspondent for BBS television in Kiyanja (Mukono, Central), while on his way to interview the defense secretary of Kiyanja village. The perpetrators had attacked the defense secretary over land dispute (coded separately). The journalist was rushed to the hospital. [size=no report]",0.0
29,9419126,2022-07-13,Strategic developments,Looting/property destruction,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Eastern,Bulambuli,Bulambuli,Sisiyi,1.2629,34.3224,URN (Uganda),National,"Looting: Around 13 July 2022 (as reported), suspected Karamajong pastoralists looted cattle from civilians in Bwikhongo sub county, near Sisiyi, Bulambuli district (Eastern). A total of 66 cattle were looted in Chebutui and Bwikhongo sub counties but 5 were recovered by police and military forces.",0.0
30,9419130,2022-07-13,Strategic developments,Looting/property destruction,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Eastern,Bulambuli,Bulambuli,Buluganya,1.2203,34.3855,URN (Uganda),National,"Looting: Around 13 July 2022 (as reported), suspected Karamajong pastoralists looted cattle from civilians in Chebutui sub county, near Buluganya, Bulambuli district (Eastern). A total of 66 cattle were looted in Chebutui and Bwikhongo sub counties but 5 were recovered by police and military forces (coded separately).",0.0
31,9409065,2022-07-12,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,Police Forces of Uganda (1986-),,1,15,Eastern,Kapchorwa,Tingey,Chebonet,1.3449,34.3845,Daily Monitor (Uganda),National,"On 12 July 2022, students from Sipi Secondary School demonstrated following the suspension of two of their colleagues, destroyed the school's property in Chebonet (Kapchorwa, Eastern). Police forces intervened and dispersed the demonstration. 13 students were arrested. [size=no report]",0.0
32,9409068,2022-07-12,Protests,Peaceful protest,Protesters (Uganda),Street Traders (Uganda),6,,,0,60,Northern,Arua,Arua,Arua,3.02,30.9108,Daily Monitor (Uganda),National,"On 12 July 2022, over 100 street vendors demonstrated at the Central Division offices in Arua city (Arua, Northern), to ask why law enforcement officers dismantled their makeshift stalls. [size=over 100]",0.0
33,9409189,2022-07-12,Riots,Mob violence,Rioters (Uganda),,5,Civilians (Uganda),,7,57,Eastern,Soroti,Soroti,Soroti,1.6856,33.6164,URN (Uganda),National,"On 12 July 2022, members of the Iteso Cultural Union beat one of the founding members of the union at the union headquarters in Soroti city (Soroti, Eastern), after opposing the nomination of the new leader of the union. [size=no report]",0.0
34,9409066,2022-07-11,Riots,Violent demonstration,Rioters (Uganda),Taxi Drivers (Uganda); Labour Group (Uganda),5,Civilians (Uganda),Police Forces of Uganda (1986-),7,57,Eastern,Jinja,Jinja,Jinja,0.4389,33.2031,Daily Monitor (Uganda),National,"On 11 July 2022, demonstrators, mostly boda boda riders, taxi drivers, small business operators and residents of Namulesa trading centre blocked the road in Jinja city (Jinja, Eastern), over government inaction to cushion vulnerable Ugandans against the increase of food and fuel prices. Travelers who refused to join the demonstration were beaten and blocked from passing through. Police fired tear gas to disperse the demonstrators. 11 motorcycles were impounded and 25 demonstrators arrested. [size=no report]",0.0
35,9409094,2022-07-11,Riots,Mob violence,Rioters (Uganda),Kiyanja Communal Group (Uganda),5,Civilians (Uganda),Government of Uganda (1986-),7,57,Central,Mukono,Mukono,Kiyanja,0.2339,32.7499,Independent (Uganda),National,"On 11 July 2022, youths armed with pangas and sticks attacked and injured the defense secretary of Kiyanja village in Kiyanja (Mukono, Central), over land dispute. [size=no report]",0.0
36,9409111,2022-07-09,Explosions/Remote violence,Grenade,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),Refugees/IDPs (Uganda),7,37,Northern,Lamwo,Lamwo,Palabek Refugee Camp,3.3511,32.417,New Vision (Uganda),National,"On 9 July 2022, an unknown armed group threw a grenade and injured 5 refugees at Palabek Refugee Camp (Lamwo, Northern).",0.0
37,9409022,2022-07-08,Battles,Armed clash,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Police Forces of Uganda (1986-) Anti-Stock Theft Unit,,1,14,Northern,Kotido,Kotido,Kotido,3.0065,34.114,Independent (Uganda); New Vision (Uganda),National,"On 8 July 2022, Karamajong pastoralists attacked Payangara Police Detach Anti-Stock Theft Unit (ASTU) and shot dead an officer in Kotido district (Northern).",1.0
38,9409064,2022-07-08,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),Government of Uganda (1986-),7,37,Central,Wakiso,Nansana,Kiryowa,0.4885,32.5329,Daily Monitor (Uganda),National,"On 8 July 2022, an unidentified armed group shot and injured the Chief Administrative Officer of Bukwo district at Kiryowa village (Wakiso, Central). The victim succumbed to his injuries at the hospital. Four suspects were arrested.",1.0
39,9409067,2022-07-08,Riots,Mob violence,Rioters (Uganda),NUP: National Unity Platform; Students (Uganda),5,Rioters (Uganda),FDC: Forum for Democratic Change; Students (Uganda),5,55,Central,Kampala,Kampala,Makerere University,0.3333,32.5667,Daily Monitor (Uganda),National,"On 8 July 2022, NUP students fought with FDC students at Makerere University (Kampala, Central) during Makerere University Guild campaigns, leaving one student dead. The election was suspended by the school after the incident. [size=no report]",1.0
40,9419131,2022-07-08,Violence against civilians,Attack,Police Forces of Uganda (1986-),,1,Civilians (Uganda),Taxi Drivers (Uganda),7,17,Central,Mukono,Mukono,Seeta,0.3758,32.7056,URN (Uganda),National,"On 8 July 2022, a police officer shot and injured a boda boda rider in Seeta town (Mukono, Central) for unclear reasons. The victim was rushed to the hospital.",1.0
41,9401273,2022-07-07,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),Journalists (Uganda),7,57,Northern,Gulu,Gulu,Layibi,2.7381,32.2927,Chimp Reports,National,"On 7 July 2022, students of Gulu College Secondary school demonstrated against fees charged by the school, beat up and injured a journalist and destroyed the school's property in Layibi (Gulu, Northern). Police forces intervened and stopped the students. [size=no report]",0.0
42,9401480,2022-07-07,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Police Forces of Uganda (1986-),,1,15,Central,Mukono,Mukono,Ntaawo,0.3832,32.7444,URN (Uganda),National,"On 7 July 2022, residents tried to lynch a police officer in Ntaawo village (Mukono, Central), for allegedly being a thief. The victim was injured and taken to the hospital. [size=no report]",0.0
43,9401484,2022-07-07,Protests,Peaceful protest,Protesters (Uganda),Government of Uganda (1986-),6,,,0,60,Northern,Kitgum,Chua,Kitgum Matidi,3.2685,33.0533,URN (Uganda),National,"On 7 July 2022, Local Council I and II Chairpersons of Kitgum Matidi town council demonstrated at the office of the Resident District Commissioner in Kitgum Matidi (Kitgum, Northern), demanding explanations over delayed payment of their annual allowances. [size=no report]",0.0
44,9401339,2022-07-06,Riots,Mob violence,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),,7,57,Central,Lyantonde,Kabula,Lyantonde,-0.4031,31.1572,Independent (Uganda),National,"On 6 July 2022, students of Lyantonde Senior Secondary School attempted to burn the entire school in Lyantonde (Lyantonde, Central). Four students were arrested and the fire was suppressed. [size=no report]",0.0
45,9401340,2022-07-06,Strategic developments,Looting/property destruction,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Northern,Moroto,Moroto,Moroto,2.5329,34.6575,Independent (Uganda),National,"Looting: Around 6 July 2022 (as reported), Karamajong pastoralists stole goats from civilians in Lotisan sub county, Moroto district (Northern). The goats were distributed to the former rustlers under the improved goat project implemented by the Karamoja Affairs Minister.",0.0
46,9401476,2022-07-06,Violence against civilians,Attack,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Northern,Agago,Agago,Omiya Pahcwa,3.2232,33.3806,URN (Uganda),National,"On 6 July 2022, Karamajong pastoralists shot and killed a civilian at Laciko village, Omiya Pahcwa (Agago, Northern).",1.0
47,9401483,2022-07-06,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Military Forces of Uganda (1986-),,1,13,Northern,Lamwo,Lamwo,Madi Opei,3.5911,33.1019,URN (Uganda),National,"On 6 July 2022, a suspected South Sudanese armed group shot dead a UPDF soldier and injured another one in Madi Opei (Lamwo, Northern). The attackers made off with at least 36 cattle.",1.0
48,9401370,2022-07-05,Riots,Mob violence,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),,7,57,Northern,Apac,Apac,Apac,1.9756,32.5386,New Vision (Uganda),National,"On 5 July 2022, students of Maruzi Seeds Secondary School destroyed the property of the school in Apac district (Northern), for unclear reasons. 14 students were arrested. [size=no report]",0.0
49,9401477,2022-07-05,Violence against civilians,Attack,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Civilians (Uganda),,7,47,Northern,Agago,Agago,Omiya Pahcwa,3.2232,33.3806,URN (Uganda),National,"On 5 July 2022, Karamajong pastoralists killed a civilian at Locekoto village, Omiya Pahcwa (Agago, Northern).",1.0
50,9401485,2022-07-04,Violence against civilians,Attack,Military Forces of Uganda (1986-),,1,Civilians (Uganda),,7,17,Northern,Moroto,Moroto,Loputuk,2.348,34.7233,URN (Uganda),National,"On 4 July 2022, a UPDF soldier shot dead an 80-year-old man during a search and cordon operation in Loputuk sub county in Moroto district (Northern), for allegedly having attacked a UPDF soldier.",1.0
51,9401479,2022-07-03,Violence against civilians,Attack,Private Security Forces (Uganda),,8,Civilians (Uganda),Women (Uganda),7,78,Central,Wakiso,Kyadondo,Namavundu,0.4344,32.6241,URN (Uganda),National,"Around 3 July 2022 (as reported), a private security guard at St. Mary Magdalene Church of Uganda Namavundu abducted and killed a girl and injured another one in Namavundu village (Wakiso, Central) for unknown reasons. [women targeted: girls]",1.0
52,9401482,2022-07-03,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),Labour Group (Uganda); Police Forces of Uganda (1986-),7,57,Eastern,Bukwo,Kongasis,Kabei,1.2933,34.64,URN (Uganda),National,"On 3 July 2022, residents with sticks, stones, and clubs attempted to lynch the managing director of Kortek general agencies in Kabei (Bukwo, Eastern) for poor work quality. The victim was injured and police stopped the locals from killing the victim. [size=no report]",0.0
53,9401285,2022-07-02,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,Police Forces of Uganda (1986-),,1,15,Central,Masaka,Masaka,Masaka,-0.3338,31.7341,Daily Monitor (Uganda),National,"On 2 July 2022, students of Blessed Sacrament School demonstrated in Masaka city (Masaka, Central), accusing teachers of subjecting them to corporal punishments, poor feeding and sexual harassment. The demonstrators attempted to burn a boys' dormitory. 1000 students were suspended following the demonstration. Police forces intervened to force the students out of the school, with some of the students beaten by police forces. [size=no report]",0.0
54,9401341,2022-07-01,Riots,Mob violence,Rioters (Uganda),Students (Uganda),5,Rioters (Uganda),Students (Uganda),5,55,Western,Kabale,Kabale,Kitumba,-1.2833,29.9833,Independent (Uganda),National,"On 1 July 2022, students from St. Mary's College fought one another at the school in Kitumba (Kabale, Western) over space to watch television. 825 students were suspended. There were no fatalities. [size=no report]",0.0
55,9401481,2022-07-01,Violence against civilians,Attack,Police Forces of Uganda (1986-),,1,Civilians (Uganda),Labour Group (Uganda),7,17,Central,Gomba,Gomba,Ntenjeru,0.1728,31.8133,URN (Uganda),National,"On 1 July 2022, police forces shot at traders at Ntenjeru-Kisoga town council (Gomba, Central) for allegedly using a stolen car. One of the traders was injured on his leg. The police and army commanders ordered security personnel in Mukono to shoot on sight whoever was found involve in armed robberies.",0.0
56,9386015,2022-06-30,Riots,Violent demonstration,Rioters (Uganda),Private Security Forces (Uganda),5,Civilians (Uganda),,7,57,Eastern,Bukwo,Kongasis,Chesower,1.3419,34.6576,URN (Uganda),National,"On 30 June 2022, several guards from Knight Guards security company deployed to China State Construction Company demonstrated against non-payment in Chesower (Bukwo, Eastern). The group arrested their supervisor, impounded his motorcycle, and handed them together with their firearms to Chesower police station. [size=no report]",0.0
57,9401478,2022-06-30,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),,7,57,Western,Kibaale,Buyanja,Bubango,0.723,31.0117,URN (Uganda),National,"On 30 June 2022, a group of locals lynched and killed a civilian in Kijungu village, Bubango sub county (Kibaale, Western). [size=no report]",1.0
58,9386017,2022-06-29,Protests,Peaceful protest,Protesters (Uganda),Labour Group (Uganda),6,,,0,60,Eastern,Mbale,Mbale,Mbale,1.0806,34.175,URN (Uganda),National,"On 29 June 2022, a group of Mbale city residents, sports lovers, referees, and boxers blocked exhibitors from accessing the stadium of Mbale city (Mbale, Eastern) to protect the green grass. The protesters argued that non-sports events could destroy the green grass of the stadium. [size=no report]",0.0
59,9386019,2022-06-29,Violence against civilians,Attack,Police Forces of Uganda (1986-),,1,Civilians (Uganda),,7,17,Northern,Adjumani,East Moyo,Zoka,3.2123,31.694,URN (Uganda),National,"On 29 June 2022, a police constable shot dead a civilian in Zoka village (Adjumani, Northern) in a scuffle over a woman. The perpetrator was arrested.",1.0
60,9401371,2022-06-29,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),,7,57,Western,Hoima,Hoima,Busisi East,1.4144,31.3422,New Vision (Uganda),National,"On 29 June 2022, residents tried to lynch a suspected thief in Busisi East cell (Hoima, Western), leaving him injured. [size=no report]",0.0
61,9386011,2022-06-27,Riots,Mob violence,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),,7,57,Central,Lyantonde,Kabula,Lyantonde,-0.4031,31.1572,URN (Uganda),National,"On 27 June 2022, unknown students from St Gonzaga Secondary School set on fire the administration block of the school in Lyantonde (Lyantonde, Central). It was alleged that the administration of the school stopped the students from organizing a party. Several school properties were destroyed. [size=no report]",0.0
62,9386013,2022-06-27,Riots,Mob violence,Rioters (Uganda),Taxi Drivers (Uganda); Vigilante Group (Uganda),5,Civilians (Uganda),Labour Group (Uganda),7,57,Central,Wakiso,Busiro,Kasanje,0.1509,32.4015,URN (Uganda),National,"On 27 June 2022, boda boda riders killed a carpenter in Kasanje town (wakiso, Central), for allegedly having stolen a motorcycle. [size=no report]",1.0
63,9386018,2022-06-27,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),Government of Uganda (1986-),7,57,Eastern,Bukwo,Kongasis,Chesower,1.3419,34.6576,URN (Uganda),National,"On 27 June 2022, residents tried to lynch the chief of Chesower sub county in Chesower (Bukwo, eastern), for stealing their money. Police forces intervened and saved the victim. [size=no report]",0.0
64,9386016,2022-06-25,Battles,Armed clash,Unidentified Armed Group (Uganda),,3,Police Forces of Uganda (1986-) Prison Guards,,1,13,Western,Kabale,Kabale,Kabale,-1.2483,29.9897,URN (Uganda),National,"On 25 June 2022, unidentified armed men attacked Kyakasengura Prison and injured a police warden on duty in Kabale district (Western). The victim was rushed to the hospital.",0.0
65,9385895,2022-06-24,Strategic developments,Arrests,Police Forces of Uganda (1986-),,1,Civilians (Uganda),ADF: Allied Democratic Forces,7,17,Central,Kampala,Kampala,Kampala,0.3156,32.5656,New Vision (Uganda),National,"On 24 June 2022, police forces arrested 24 ADF funders around Kampala (Kampala, Central), accused of stealing money to finance ADF activities.",0.0
66,9386012,2022-06-24,Protests,Protest with intervention,Protesters (Uganda),Students (Uganda); NUP: National Unity Platform,6,Police Forces of Uganda (1986-),,1,16,Central,Kampala,Kampala,Makerere University,0.3333,32.5667,URN (Uganda),National,"On 24 June 2022, four NUP students from Makerere University demonstrated at Makerere University (Kampala, Central), for unclear reason. The four students were suspended by the University for holding the demonstration. Police forces arrested the demonstrators. [size=4]",0.0
67,9377198,2022-06-23,Strategic developments,Arrests,Police Forces of Uganda (1986-),Military Forces of Uganda (1986-),1,Civilians (Uganda),Muslim Group (Uganda),7,17,Central,Luwero,Katikamu,Luwero,0.8413,32.4933,URN (Uganda),National,"On 23 June 2022, police and military forces arrested 70 muslims from a cave in Kireku village, Luwero district (Central), for allegedly undergoing radicalism in Islam. Police forces kept three leaders for interrogation and others were immediately transported to their homes in Kayunga district.",0.0
